Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Togo,TGO,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,38200
Togo,TGO,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,38200
Togo,TGO,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,38200
Togo,TGO,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,38200
Togo,TGO,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,38200
Togo,TGO,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,38200
Togo,TGO,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,38200
Togo,TGO,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,38200
Togo,TGO,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,38200
Togo,TGO,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,38500
Togo,TGO,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,36650
Togo,TGO,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,36650
Togo,TGO,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,36550
Togo,TGO,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,36350
Togo,TGO,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,35950
Togo,TGO,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,35700
Togo,TGO,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,35200
Togo,TGO,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,34800
Togo,TGO,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,34600
Togo,TGO,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,34400
Togo,TGO,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,34200
Togo,TGO,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,34000
Togo,TGO,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,33700
Togo,TGO,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,33500
Togo,TGO,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,33300
Togo,TGO,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,32900
Togo,TGO,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,32700
Togo,TGO,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,32500
Togo,TGO,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,32300
Togo,TGO,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,32050
Togo,TGO,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,31850
Togo,TGO,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,31600
Togo,TGO,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,31400
Togo,TGO,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,31400
Togo,TGO,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,31100
Togo,TGO,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,30900
Togo,TGO,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,30900
Togo,TGO,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,30850
Togo,TGO,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,30350
Togo,TGO,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,30350
Togo,TGO,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,30350
Togo,TGO,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,30350
Togo,TGO,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,30300
Togo,TGO,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,29800
Togo,TGO,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,28800
Togo,TGO,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,28800
Togo,TGO,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,28800
Togo,TGO,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,28800
Togo,TGO,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,28800
Togo,TGO,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,28800
Togo,TGO,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,28800
Togo,TGO,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,30750
Togo,TGO,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,30750
Togo,TGO,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,30750
Togo,TGO,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,30750
Togo,TGO,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,30750
Togo,TGO,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,30750
Togo,TGO,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,30700
Togo,TGO,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,30700
Togo,TGO,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,30700
Togo,TGO,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,30700
Togo,TGO,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2334988049274
Togo,TGO,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2334988049274
Togo,TGO,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2334988049274
Togo,TGO,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2334988049274
Togo,TGO,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2334988049274
Togo,TGO,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2334988049274
Togo,TGO,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2334988049274
Togo,TGO,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2334988049274
Togo,TGO,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2334988049274
Togo,TGO,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2334988049274
Togo,TGO,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.7850707850708
Togo,TGO,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.3837102408531
Togo,TGO,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.3837102408531
Togo,TGO,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,67.1998529141386
Togo,TGO,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.8321382607097
Togo,TGO,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.0967089538518
Togo,TGO,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.6370656370656
Togo,TGO,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7177790034933
Togo,TGO,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.9823496966354
